gid,entidad,geom,fna,gna,nam,fdc,sag
35008,1,POINT(-56.0162979999999 -28.0503629999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Virasoro,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Virasoro,Ministerio del Interior,IGN
35009,1,POINT(-59.26514 -29.1457859999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Goya,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Goya,Ministerio del Interior,IGN
35031,1,POINT(-59.787989 -32.397507),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Nogoyá 2,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Nogoyá 2,Ministerio del Interior,IGN
35010,1,POINT(-56.688803 -27.5871779999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Ituzaingó Corrientes,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Ituzaingó Corrientes,Ministerio del Interior,IGN
35011,1,POINT(-65.115518 -24.386534),Universidad Empresarial Siglo 21 Icset Perico,Universidad,Empresarial Siglo 21 Icset Perico,Ministerio del Interior,IGN
35012,1,POINT(-58.072554 -29.1819389999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Mercedes,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Mercedes,Ministerio del Interior,IGN
35013,1,POINT(-57.96446 -30.6184909999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Monte Caseros,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Monte Caseros,Ministerio del Interior,IGN
35014,1,POINT(-57.089254 -29.7125),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Paso de los Libres,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Paso de los Libres,Ministerio del Interior,IGN
35015,1,POINT(-60.7560119999999 -31.667676),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Santo Tomé,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Santo Tomé,Ministerio del Interior,IGN
35016,1,POINT(-56.0381869999999 -28.5548439999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Santo Tomé Corrientes,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Santo Tomé Corrientes,Ministerio del Interior,IGN
35017,1,POINT(-58.8806079999999 -32.37708),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Basavilbaso,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Basavilbaso,Ministerio del Interior,IGN
35018,1,POINT(-59.4431499999999 -31.33957),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Bovril,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Bovril,Ministerio del Interior,IGN
35019,1,POINT(-57.9884699999999 -30.7563749999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Chajarí,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Chajarí,Ministerio del Interior,IGN
35020,1,POINT(-58.1476489999999 -32.2196789999999),Universidad Empresarial Siglo 21 Cau Litoral,Universidad,Empresarial Siglo 21 Cau Litoral,Ministerio del Interior,IGN
35021,1,POINT(-58.233335 -32.483132),Universidad Empresarial Siglo 21 Asociación Civil Mitesm,Universidad,Empresarial Siglo 21 Asociación Civil Mitesm,Ministerio del Interior,IGN
35022,1,POINT(-58.020317 -31.396424),Universidad Empresarial Siglo 21 Centro de Aprendizaje Concordia,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Concordia,Ministerio del Interior,IGN
35023,1,POINT(-60.3044389999999 -32.031552),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Crespo,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Crespo,Ministerio del Interior,IGN
35024,1,POINT(-60.6396789999999 -32.069486),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Diamante,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Diamante,Ministerio del Interior,IGN
35025,1,POINT(-57.917951 -30.993238),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Federación,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Federación,Ministerio del Interior,IGN
35026,1,POINT(-58.7851899999999 -30.952231),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Federal,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Federal,Ministerio del Interior,IGN
