gid,entidad,geom,fna,gna,nam,fdc,sag
10635,1,POINT(-59.88750485 -36.77493249),Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Agronomía,Universidad Nacional,del Centro de la Provincia de Buenos Aires Facultad de Agronomía,IDE Buenos Aires,IGN
10636,1,POINT(-58.66068089 -38.56287544),Universidad Nacional del Centro de la Provincia de Buenos Aires Unidad de Enseñanza Universitaria de Quequén,Universidad Nacional,del Centro de la Provincia de Buenos Aires Unidad de Enseñanza Universitaria*,IDE Buenos Aires,IGN
10638,1,POINT(-62.2723417999999 -38.6986615399999),Universidad Nacional del Sur Departamento de Ingeniería Eléctrica y de Computadoras,Universidad Nacional,del Sur Departamento de Ingeniería Eléctrica y de Computadoras,IDE Buenos Aires,IGN
10639,1,POINT(-62.27177433 -38.69838075),Universidad Nacional del Sur Departamento de Física,Universidad Nacional,del Sur Departamento de Física,IDE Buenos Aires,IGN
10640,1,POINT(-62.27137411 -38.6989721699999),Universidad Nacional del Sur Departamento de Matemática,Universidad Nacional,del Sur Departamento de Matemática,IDE Buenos Aires,IGN
10641,1,POINT(-62.2713498799999 -38.6982065999999),Universidad Nacional del Sur Departamento de Ciencias e Ingeniería de la  Computación,Universidad Nacional,del Sur Departamento de Ciencias e Ingeniería de la  Computación,IDE Buenos Aires,IGN
10642,1,POINT(-62.2708543099999 -38.69872693),Universidad Nacional del Sur Departamento de Química,Universidad Nacional,del Sur Departamento de Química,IDE Buenos Aires,IGN
10643,1,POINT(-62.27065093 -38.69818371),Universidad Nacional del Sur Departamento de Ingeniería Química,Universidad Nacional,del Sur Departamento de Ingeniería Química,IDE Buenos Aires,IGN
10644,1,POINT(-62.26930619 -38.7026918999999),"Universidad Nacional del Sur Departamento de Biología, Bioquímica y Farmacia",Universidad Nacional,"del Sur Departamento de Biología, Bioquímica y Farmacia",IDE Buenos Aires,IGN
10645,1,POINT(-62.2688239399999 -38.7024604499999),Universidad Nacional del Sur Departamento de Geología,Universidad Nacional,del Sur Departamento de Geología,IDE Buenos Aires,IGN
10646,1,POINT(-62.2678029099999 -38.70197676),Universidad Nacional del Sur Departamento de Ciencias de la Administración,Universidad Nacional,del Sur Departamento de Ciencias de la Administración,IDE Buenos Aires,IGN
10647,1,POINT(-62.26828749 -38.7013981599999),Universidad Nacional del Sur Departamento de Economía,Universidad Nacional,del Sur Departamento de Economía,IDE Buenos Aires,IGN
10648,1,POINT(-62.26814417 -38.7021671599999),Universidad Nacional del Sur Departamento de Humanidades,Universidad Nacional,del Sur Departamento de Humanidades,IDE Buenos Aires,IGN
10649,1,POINT(-62.26865806 -38.70163178),Universidad Nacional del Sur Departamento de Geografía y Turismo,Universidad Nacional,del Sur Departamento de Geografía y Turismo,IDE Buenos Aires,IGN
10650,1,POINT(-62.2691550599999 -38.69171961),Universidad Nacional del Sur Departamento de Ciencias de la Salud,Universidad Nacional,del Sur Departamento de Ciencias de la Salud,IDE Buenos Aires,IGN
10651,1,POINT(-58.0051895999999 -34.88394204),Universidad Pedagógica Nacional Sede Rectorado,Universidad,Pedagógica Nacional Sede Rectorado,IDE Buenos Aires,IGN
10652,1,POINT(-58.52270634 -34.7894935099999),Universidad Provincial de Ezeiza,Universidad Provincial,de Ezeiza,IDE Buenos Aires,IGN
10653,1,POINT(-62.26449331 -38.7105010499999),Universidad Tecnológica Nacional Facultad Regional Bahía Blanca,Universidad Tecnológica Nacional,Facultad Regional Bahía Blanca,IDE Buenos Aires/Ministerio del Interior,IGN
10654,1,POINT(-58.96085829 -34.1793542999999),Universidad Tecnológica Nacional Facultad Regional Delta,Universidad Tecnológica Nacional,Facultad Regional Delta,IDE Buenos Aires,IGN
10655,1,POINT(-58.4214603199999 -34.6003554599999),Universidad Tecnológica Nacional Facultad Regional Buenos Aires,Universidad Tecnológica Nacional,Facultad Regional Buenos Aires,IDE Buenos Aires/Ministerio del Interior,IGN
10656,1,POINT(-58.62633761 -34.4561505099999),Universidad Tecnológica Nacional Facultad Regional General Pacheco,Universidad Tecnológica Nacional,Facultad Regional General Pacheco,IDE Buenos Aires,IGN
10657,1,POINT(-58.60141541 -34.64050098),Universidad Tecnológica Nacional Facultad Regional Haedo,Universidad Tecnológica Nacional,Facultad Regional Haedo,IDE Buenos Aires,IGN
10658,1,POINT(-57.9256624399999 -34.9049807),Universidad Tecnológica Nacional Facultad Regional La Plata,Universidad Tecnológica Nacional,Facultad Regional La Plata,IDE Buenos Aires,IGN
10659,1,POINT(-60.2278509399999 -33.33297571),Universidad Tecnológica Nacional Facultad Regional San Nicolás,Universidad Tecnológica Nacional,Facultad Regional San Nicolás,IDE Buenos Aires,IGN
10660,1,POINT(-58.3648603 -34.6624942299999),Universidad Tecnológica Nacional Facultad Regional Avellaneda,Universidad Tecnológica Nacional,Facultad Regional Avellaneda,IDE Buenos Aires/Ministerio del Interior,IGN
10661,1,POINT(-62.72557531 -35.9843312899999),Universidad Tecnológica Nacional Facultad Regional de Trenque Lauquen,Universidad Tecnológica Nacional,Facultad Regional de Trenque Lauquen,IDE Buenos Aires,IGN
28806,1,POINT(-65.77563564 -28.466915404),Universidad Nacional de Catamarca,Universidad Nacional,de Catamarca,Ministerio del Interior,IGN
28807,1,POINT(-60.6154529999999 -25.960589),Universidad Nacional del Nordeste Centro Regional Castelli,Universidad Nacional,del Nordeste Centro Regional Castelli,Ministerio del Interior,IGN
28808,1,POINT(-61.281013 -27.325409),Universidad Nacional del Nordeste Centro Regional Universitario General Pinedo,Universidad Nacional,del Nordeste Centro Regional Universitario General Pinedo,Ministerio del Interior,IGN
28809,1,POINT(-71.322491 -42.9115057999999),Universidad Nacional de la Patagonia Sede Esquel,Universidad Nacional,de la Patagonia Sede Esquel,Ministerio del Interior,IGN
28810,1,POINT(-65.049315 -42.7543489999999),Universidad Nacional del Comahue - Módulo Puerto Madryn Facultad de Ciencias del Ambiente y de la Salud,Universidad Nacional,del Comahue - Módulo Puerto Madryn Facultad de Ciencias del Ambiente y de la Sa*,Ministerio del Interior,IGN
28811,1,POINT(-65.0017986999999 -42.7845756999999),Universidad Nacional de la Patagonia Sede Puerto Madryn,Universidad Nacional,de la Patagonia Sede Puerto Madryn,Ministerio del Interior,IGN
28812,1,POINT(-65.3084796809999 -43.250025788),Universidad Nacional de la Patagonia San Juan Bosco Sede Trelew,Universidad Nacional,de la Patagonia San Juan Bosco Sede Trelew,Ministerio del Interior,IGN
28813,1,POINT(-64.1876999999999 -31.4189),"Universidad Nacional de Córdoba Facultad de Ciencias Exactas, Físicas y Naturales",Universidad Nacional,"de Córdoba Facultad de Ciencias Exactas, Físicas y Naturales",Ministerio del Interior,IGN
28814,1,POINT(-64.1849 -31.4340999999999),Universidad Nacional de Córdoba Facultad de Derecho y Ciencias Sociales,Universidad Nacional,de Córdoba Facultad de Derecho y Ciencias Sociales,Ministerio del Interior,IGN
28815,1,POINT(-64.1865 -31.4383999999999),Universidad Nacional de Córdoba Facultad de Ciencias Médicas,Universidad Nacional,de Córdoba Facultad de Ciencias Médicas,Ministerio del Interior,IGN
28816,1,POINT(-64.188165463 -31.418019307),"Universidad Nacional de Córdoba Facultad de Arquitectura, Urbanismo y Diseño",Universidad Nacional,"de Córdoba Facultad de Arquitectura, Urbanismo y Diseño",Ministerio del Interior,IGN
28817,1,POINT(-64.1849999999999 -31.4408),Universidad Nacional de Córdoba Facultad de Ciencias Agropecuarias,Universidad Nacional,de Córdoba Facultad de Ciencias Agropecuarias,Ministerio del Interior,IGN
28818,1,POINT(-64.1856999999999 -31.4352),Universidad Nacional de Córdoba Facultad de Ciencias Económicas,Universidad Nacional,de Córdoba Facultad de Ciencias Económicas,Ministerio del Interior,IGN
28819,1,POINT(-64.1927602329999 -31.4367583439999),Universidad Nacional de Córdoba Facultad de Ciencias Químicas,Universidad Nacional,de Córdoba Facultad de Ciencias Químicas,Ministerio del Interior,IGN
28820,1,POINT(-64.1886 -31.4356999999999),Universidad Nacional de Córdoba Facultad de Filosofía y Humanidades,Universidad Nacional,de Córdoba Facultad de Filosofía y Humanidades,Ministerio del Interior,IGN
28821,1,POINT(-64.187261139 -31.416908791),Universidad Nacional de Córdoba Facultad de Lenguas,Universidad Nacional,de Córdoba Facultad de Lenguas,Ministerio del Interior,IGN
28822,1,POINT(-64.1931 -31.4383),"Universidad Nacional de Córdoba Facultad de Matemática, Astronomía y Física",Universidad Nacional,"de Córdoba Facultad de Matemática, Astronomía y Física",Ministerio del Interior,IGN
28823,1,POINT(-64.1881 -31.4392999999999),Universidad Nacional de Córdoba Facultad de Odontología,Universidad Nacional,de Córdoba Facultad de Odontología,Ministerio del Interior,IGN
28824,1,POINT(-64.1908 -31.4370999999999),Universidad Nacional de Córdoba Facultad de Psicología,Universidad Nacional,de Córdoba Facultad de Psicología,Ministerio del Interior,IGN
28825,1,POINT(-64.3006172469999 -33.110494401),Universidad Nacional de Río Cuarto,Universidad Nacional,de Río Cuarto,Ministerio del Interior,IGN
28826,1,POINT(-63.260549671 -32.381704837),Universidad Nacional de Villa María,Universidad Nacional,de Villa María,Ministerio del Interior,IGN
28827,1,POINT(-58.8364465999999 -27.4623361),Universidad Nacional del Nordeste. Sede Corrientes,Universidad Nacional,del Nordeste. Sede Corrientes,Ministerio del Interior,IGN
28828,1,POINT(-58.049931 -29.7915419999999),Universidad Nacional del Nordeste Facultad de Ciencias Veterinarias Sede Curuzú Cuatiá,Universidad Nacional,del Nordeste Facultad de Ciencias Veterinarias Sede Curuzú Cuatiá,Ministerio del Interior,IGN
28829,1,POINT(-59.532162 -30.0174009999999),"Universidad Nacional del Nordeste Facultad de Derecho, Ciencias Sociales y Políticas Extensión Esquina",Universidad Nacional,"del Nordeste Facultad de Derecho, Ciencias Sociales y Políticas Extensión Esquina",Ministerio del Interior,IGN
28830,1,POINT(-57.0903595 -29.708727),Universidad Nacional del Nordeste Facultad de Ciencias Económicas Sede Paso de los Libres,Universidad Nacional,del Nordeste Facultad de Ciencias Económicas Sede Paso de los Libres,Ministerio del Interior,IGN
28831,1,POINT(-56.0456349999999 -28.55162),"Universidad Nacional del Nordeste Facultad de Derecho, Ciencias Sociales y Políticas Extensión Santo Tomé",Universidad Nacional,"del Nordeste Facultad de Derecho, Ciencias Sociales y Políticas Extensión Santo Tomé",Ministerio del Interior,IGN
28832,1,POINT(-58.831744 -27.4667239999999),Universidad Nacional del Nordeste Facultad de Medicina,Universidad Nacional,del Nordeste Facultad de Medicina,Ministerio del Interior,IGN
28833,1,POINT(-58.822859663 -27.459218864),Universidad Nacional del Nordeste Facultad de Ciencias Agrarias,Universidad Nacional,del Nordeste Facultad de Ciencias Agrarias,Ministerio del Interior,IGN
28834,1,POINT(-58.022168221 -31.3819545379999),Universidad Nacional de Entre Ríos Facultad de Ciencias de la Administración,Universidad Nacional,de Entre Ríos Facultad de Ciencias de la Administración,Ministerio del Interior,IGN
28835,1,POINT(-58.513499 -33.0096389999999),Universidad Nacional de Entre Ríos Facultad de Bromatología,Universidad Nacional,de Entre Ríos Facultad de Bromatología,Ministerio del Interior,IGN
28836,1,POINT(-60.5222238599999 -31.8323451749999),Universidad Nacional de Entre Ríos Facultad de Ciencias Agropecuarias,Universidad Nacional,de Entre Ríos Facultad de Ciencias Agropecuarias,Ministerio del Interior,IGN
28837,1,POINT(-60.5240259999999 -31.73427),Universidad Nacional de Entre Ríos Facultad de Ciencias Económicas,Universidad Nacional,de Entre Ríos Facultad de Ciencias Económicas,Ministerio del Interior,IGN
28838,1,POINT(-60.5222241399999 -31.832344825),Universidad Nacional de Entre Ríos Facultad de Ingeniería,Universidad Nacional,de Entre Ríos Facultad de Ingeniería,Ministerio del Interior,IGN
30294,1,POINT(-65.0089399999999 -32.334509),Universidad Nacional de San Luis Facultad de Turismo y Urbanismo,Universidad Nacional,de San Luis Facultad de Turismo y Urbanismo,Ministerio del Interior,IGN
30269,1,POINT(-58.245148 -25.12965),Universidad Nacional de Formosa Facultad de la Producción y Medio Ambiente,Universidad Nacional,de Formosa Facultad de la Producción y Medio Ambiente,Ministerio del Interior,IGN
30270,1,POINT(-57.722795 -25.288371),Universidad Nacional de Formosa  Extensión Clorinda,Universidad Nacional,de Formosa  Extensión Clorinda,Ministerio del Interior,IGN
30271,1,POINT(-64.292385926 -36.6255698849999),Universidad Nacional de la Pampa Facultad de Ciencias Exactas y Naturales,Universidad Nacional,de la Pampa Facultad de Ciencias Exactas y Naturales,Ministerio del Interior,IGN
30272,1,POINT(-64.2824992019999 -36.561551841),Universidad Nacional de La Pampa Facultad de Agronomía,Universidad Nacional,de La Pampa Facultad de Agronomía,Ministerio del Interior,IGN
30273,1,POINT(-64.289981 -36.620441),Universidad Nacional de La Pampa Facultad de Ciencias Económicas y Jurídicas,Universidad Nacional,de La Pampa Facultad de Ciencias Económicas y Jurídicas,Ministerio del Interior,IGN
30274,1,POINT(-63.760961317 -35.657806438),Universidad Nacional de La Pampa Facultad de Ciencias Veterinarias,Universidad Nacional,de La Pampa Facultad de Ciencias Veterinarias,Ministerio del Interior,IGN
30275,1,POINT(-63.770422859 -35.6683446599999),Universidad Nacional de La Pampa Facultad de Ingeniería,Universidad Nacional,de La Pampa Facultad de Ingeniería,Ministerio del Interior,IGN
30276,1,POINT(-66.262785 -30.630074),Universidad Nacional de La Rioja Delegación Olta,Universidad Nacional,de La Rioja Delegación Olta,Ministerio del Interior,IGN
30277,1,POINT(-66.5919607709999 -31.3360553959999),Universidad Nacional de La Rioja Sede Chepes,Universidad Nacional,de La Rioja Sede Chepes,Ministerio del Interior,IGN
30278,1,POINT(-68.8410005 -32.8915175),Universidad Nacional de Cuyo Facultad de Odontología,Universidad Nacional,de Cuyo Facultad de Odontología,Ministerio del Interior,IGN
30279,1,POINT(-55.9020609999999 -27.410851),Universidad Nacional de Misiones Facultad de Ciencias Económicas,Universidad Nacional,de Misiones Facultad de Ciencias Económicas,Ministerio del Interior,IGN
30280,1,POINT(-55.1006439999999 -27.488733),Universidad Nacional de Misiones Facultad de Arte y Diseño,Universidad Nacional,de Misiones Facultad de Arte y Diseño,Ministerio del Interior,IGN
30281,1,POINT(-54.6650152789999 -26.399539536),Universidad Nacional de Misiones Facultad de Ciencias Forestales,Universidad Nacional,de Misiones Facultad de Ciencias Forestales,Ministerio del Interior,IGN
30282,1,POINT(-55.895839576 -27.3721180429999),Universidad Nacional de Misiones Facultad de Humanidades y Ciencias Sociales,Universidad Nacional,de Misiones Facultad de Humanidades y Ciencias Sociales,Ministerio del Interior,IGN
30283,1,POINT(-55.110597621 -27.4851765559999),Universidad Nacional de Misiones Facultad de Ingeniería,Universidad Nacional,de Misiones Facultad de Ingeniería,Ministerio del Interior,IGN
30284,1,POINT(-55.892012 -27.381833),Universidad Nacional de Misiones Facultad de Farmacia y Bioquímica,Universidad Nacional,de Misiones Facultad de Farmacia y Bioquímica,Ministerio del Interior,IGN
30285,1,POINT(-55.893287 -27.364682),"Universidad Nacional de Misiones Facultad de Ciencias Exactas, Químicas y Naturales",Universidad Nacional,"de Misiones Facultad de Ciencias Exactas, Químicas y Naturales",Ministerio del Interior,IGN
30286,1,POINT(-67.5617385369999 -39.023133114),Universidad Nacional del Comahue - Facultad de Derecho y Ciencias Sociales,Universidad Nacional,del Comahue - Facultad de Derecho y Ciencias Sociales,IGN04/Mapa Educativo,IGN
30287,1,POINT(-64.972447 -25.5047509999999),Universidad Nacional de Salta Sede Regional Metán,Universidad Nacional,de Salta Sede Regional Metán,Ministerio del Interior,IGN
30288,1,POINT(-63.797072 -22.517959),Universidad Nacional de Salta Sede Regional Tartagal,Universidad Nacional,de Salta Sede Regional Tartagal,Ministerio del Interior,IGN
30289,1,POINT(-64.321221 -23.134444),Universidad Nacional de Salta Sede Regional Orán,Universidad Nacional,de Salta Sede Regional Orán,Ministerio del Interior,IGN
30290,1,POINT(-68.5784612309999 -31.5390775829999),"Universidad Nacional de San Juan Facultad de Ciencias Exactas, Físicas y Naturales",Universidad Nacional,"de San Juan Facultad de Ciencias Exactas, Físicas y Naturales",Ministerio del Interior,IGN
